               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   2,            0.038662,            0.018697,            0.020306,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.032346,           0.0070615,           0.0070615
                   3,            0.031861,            0.017039,            0.019343,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.013328,           0.0082714,           0.0082714
                   4,            0.026626,            0.014894,            0.017276,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075635,           0.0075635,           0.0075635
                   5,            0.023634,            0.013267,            0.015527,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075635,           0.0075635,           0.0075635
                   6,            0.020009,            0.012281,            0.014295,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0063368,           0.0063368,           0.0063368
                   7,              0.0176,            0.011669,            0.013353,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051102,           0.0051102,           0.0051102
                   8,            0.015841,            0.011189,            0.012682,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038835,           0.0038835,           0.0038835
                   9,            0.014411,            0.010828,             0.01208,             0.75585,             0.82448,             0.84124,             0.63633,              0.0175,             0.01001,            0.014812,           0.0026569,           0.0026569,           0.0026569
                   0,            0.067153,            0.021265,            0.026186,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.056859,           0.0023241,           0.0023241
                   1,            0.043643,            0.020298,            0.023856,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.043344,           0.0042165,           0.0042165
